Movie_Name,Comment
"1988年的妮可 Nico, 1988",成本低廉的PPT电影，用Nico生命中最后一年发生的事给Nico的歌配上情节，倒不算尴尬。女猪演得不错，在电影中非常少见的中老年女摇滚艺人形象，不念惜过往不落魄潦倒观众再少也不挑在居民楼的草台场子也能煽动蹦哒，坦然接受衰老变丑接受对遗弃儿子的后悔但小破巡演的宅斗奸情该搞还是得搞
"1988年的妮可 Nico, 1988",传记片能做到半真半假的真实，就成功一半了，然后就是走进人物的内心世界。这部影片做到了纪录片般的真实。
"1988年的妮可 Nico, 1988",意大利房东记得他的嚣张，岔开大腿抽着烟说，我的计划是成为优雅的老女人。总念错名字的劳拉记得她的黯然，在病床前问起你有孩子吗，没有的话你真幸运。犹太经纪人记得她的洒脱，他们约定从伊维萨回来就录新专辑。妮可举着话筒，录下生命嚣张又黯然的声音，洒脱逃离布拉格人生舞台，死在光明节烛光中。
"1988年的妮可 Nico, 1988",意大利电影周开幕片
"1988年的妮可 Nico, 1988",【中国电影资料馆展映】歌星Nico的最后三年，青春不再，人气不再，衰老暴躁，在漂泊不定的巡回演唱、吸毒、与儿子修复关系中度过。在共产主义的布拉格高歌一曲是全片亮点。女主演得不错，但除了迷幻闪回，整体更像流水账。三颗星全给Nico的歌。片尾一曲《My Only Child》震撼人心
"1988年的妮可 Nico, 1988",我曾到达巅峰也跌落过谷底发现都是空空如也，当摇滚少女变成毒瘾大妈，唯有那颗躁动的心能维持了，丹麦女星也是这样，表演很打动人。闪回和幻觉段落很迷醉辉煌的时刻，东欧裂变之前进入恐怖阴森的共产捷克。资料馆威尼斯影展开幕式。
"1988年的妮可 Nico, 1988",很好奇，她在东欧旷野里因为戒断反应呕吐不止的时候，是不是也会回忆起年轻时那么多光芒四射名动天下的恋人们？还是真的如她所说，全都不在乎了。
"1988年的妮可 Nico, 1988",6.28 毕业看片，找工作苦涩
"1988年的妮可 Nico, 1988",7/14@电博意大利影展 7。The struggling single mother musician on her last tour. 罗马尼亚光明节如谶一瞥。捷克快闪。Emptiness and Nibelungen Land。最终到达的地方。细腻、仿真、摄影与录音均可圈点。
"1988年的妮可 Nico, 1988",片名还是要叫妮可，就足以消解所有反思和深情。
"1988年的妮可 Nico, 1988",制作粗糙的学生毕业作品也就这样了吧？故事更是随意的东一下西一下。年份叙述毫无节奏感。我认为从头到尾的每一分钟都很糟糕。
"1988年的妮可 Nico, 1988","“我的内心是如此的空虚，但是我的歌曲里，满是对你的爱”
“我到过顶峰，也到过低谷，全都是空空如也。”
威尼斯节精粹展映，意大利影展开幕影片。"
"1988年的妮可 Nico, 1988",#siff21# 音乐响起时，才是最真实的Christa。地下演出的那一场，癫狂放纵，随性自由，是经历一生坎坷的呐喊，感染力十足。
"1988年的妮可 Nico, 1988",2018106 电博。原来是与菲利普加瑞尔合作《内心的伤痕》的Nico传记。整片以一种缓慢甚至于笨拙的姿态讲述Nico逝世前的生活状态，故事节奏显得沉闷而无趣。
"1988年的妮可 Nico, 1988",The morning is small，the evening is tall.尼伯龙根、空空如也、留在身后。
"1988年的妮可 Nico, 1988",太用力了。。
"1988年的妮可 Nico, 1988",第74届威尼斯电影节地平线单元最佳影片 被仰望的传奇 巅峰过后的自我
